,YEAR,FOCAL_DEPTH,EQ_PRIMARY,LATITUDE,LONGITUDE
5620,2010,5,5.8,32.7,-115.921
5621,2010,18,7.0,-2.174,136.543
5622,2010,20,5.9,13.197,93.087
5623,2010,16,5.2,29.872,80.428
5624,2010,22,5.2,45.88,-75.48
5625,2010,20,6.2,16.396,-97.782
5626,2010,10,5.8,27.022,53.861
5627,2010,586,7.6,6.486,123.467
5628,2010,24,5.4,35.217,59.308
5629,2010,25,7.2,-17.541,168.069
5630,2010,207,7.1,-1.266,-77.306
5631,2010,10,6.9,12.484,141.476
5632,2010,7,5.7,35.49,54.47
5633,2010,35,4.9,27.197,103.005
5634,2010,12,7.0,-43.522,171.83
5635,2010,9,5.0,-43.57,172.388
5636,2010,21,5.1,-40.433,176.818
5637,2010,6,5.0,-43.598,172.69
5638,2010,10,4.8,23.407,90.648
5639,2010,27,5.8,29.647,51.665
5640,2010,33,5.2,33.869,72.887
5641,2010,20,7.8,-3.487,100.082
5642,2010,1,5.5,43.76,20.673
5643,2010,5,4.9,33.37,48.94
5644,2010,27,4.7,30.178,67.117
5645,2010,10,5.1,7.521,37.839
5646,2010,5,3.7,35.827,-96.772
5647,2010,12,6.5,28.412,59.18
5648,2010,14,7.4,26.901,143.698
5649,2010,16,7.3,-19.702,167.947
5650,2010,5,4.5,-43.55,172.647
5651,2011,24,4.5,30.16,51.62
5652,2011,24,6.5,-19.157,168.311
5653,2011,68,7.2,28.777,63.951
5654,2011,31,4.8,24.693,97.943
5655,2011,85,6.3,24.618,94.68
5656,2011,28,6.8,-36.474,-73.125
5657,2011,1,3.1,38.947,-107.497
5658,2011,6,6.1,-43.583,172.68
5659,2011,50,5.5,9.457,125.935
5660,2011,32,7.5,38.435,142.842
5661,2011,26,5.5,24.719,97.969
5662,2011,30,9.1,38.297,142.372
5663,2011,43,7.9,36.281,141.111
5664,2011,19,7.6,38.058,144.59
5665,2011,8,6.8,20.687,99.822
5666,2011,26,5.4,29.698,80.754
5667,2011,42,7.1,38.276,141.588
5668,2011,43,5.1,31.373,100.757
5669,2011,11,6.6,37.001,140.401
5670,2011,8,6.1,-4.586,122.771
5671,2011,1,5.1,37.699,-1.672
5672,2011,7,4.3,39.12,29.04
5673,2011,21,5.3,43.015,88.247
5674,2011,6,6.0,-43.564,172.743
5675,2011,39,5.3,25.075,98.721
5676,2011,52,7.3,52.05,-171.836
5677,2011,29,5.3,32.447,95.948
5678,2011,17,7.6,-29.539,-176.34
5679,2011,23,7.0,38.034,143.264
5680,2011,20,6.1,40.081,71.41
5681,2011,40,5.0,24.932,98.73
5682,2011,10,5.7,39.955,77.028
5683,2011,32,7.1,-18.365,168.143
5684,2011,28,7.0,-18.311,168.218
5685,2011,4,5.4,37.063,-104.701
5686,2011,6,5.8,37.936,-77.933
5687,2011,32,6.8,52.171,-171.708
5688,2011,91,6.7,2.965,97.893
5689,2011,10,4.3,28.724,77.189
5690,2011,50,6.9,27.73,88.155
5691,2011,9,5.6,14.186,-90.238
5692,2011,10,5.0,21.211,70.533
5693,2011,33,7.4,-28.993,-176.238
5694,2011,16,7.1,38.722,43.513
5695,2011,24,6.9,-14.438,-75.966
5696,2011,10,3.5,27.449,88.684
5697,2011,3,4.0,-0.13,-78.37
5698,2011,28,5.6,43.648,82.437
5699,2011,5,5.7,35.532,-96.765
5700,2011,46,5.0,7.904,125.185
5701,2011,5,5.0,35.531,-96.788
5702,2011,5,5.7,38.429,43.229
5703,2011,114,5.8,24.955,95.236
5704,2011,43,5.1,13.297,-87.898
5705,2011,32,5.3,38.31,76.888
5706,2011,56,5.3,-41.364,174.315
5707,2011,54,6.4,17.844,-99.963
5708,2011,10,5.8,-43.49,172.8
5709,2011,15,6.7,51.842,95.911
5710,2012,8,5.3,36.288,58.835
5711,2012,43,6.4,-14.168,-75.635
5712,2012,23,7.0,-17.827,167.133
5713,2012,11,6.7,9.999,123.206
5714,2012,28,5.9,22.661,120.891
5715,2012,10,5.2,31.428,56.778
5716,2012,37,5.6,12.354,123.7
5717,2012,12,6.9,40.887,144.944
5718,2012,18,5.8,10.037,125.633
5719,2012,20,7.4,16.493,-98.231
5720,2012,41,7.2,-35.2,-72.217
5721,2012,20,8.6,2.327,93.063
5722,2012,25,8.2,0.802,92.463
5723,2012,11,6.3,-18.972,168.741
5724,2012,29,6.7,-32.625,-71.365
5725,2012,10,5.4,32.747,47.726
5726,2012,11,5.7,41.549,46.789
5727,2012,43,5.4,26.175,92.889
5728,2012,10,5.7,38.612,70.354
5729,2012,10,6.3,-17.678,-69.591
5730,2012,10,4.1,-16.764,-43.999
5731,2012,6,6.1,44.89,11.23
5732,2012,5,5.1,44.831,11.49
5733,2012,10,5.6,42.645,22.968
5734,2012,10,5.9,44.851,11.086
5735,2012,50,5.8,-7.692,106.371
5736,2012,35,6.1,36.42,28.88
5737,2012,16,5.8,36.023,69.351
5738,2012,5,5.3,37.294,42.325
5739,2012,10,5.5,27.767,100.781
5740,2012,18,6.3,43.433,84.7
5741,2012,10,4.9,32.978,119.593
5742,2012,22,6.5,2.707,96.045
5743,2012,20,6.4,-9.694,159.727
5744,2012,11,6.5,38.329,46.826
5745,2012,583,7.7,49.8,145.064
5746,2012,10,6.3,-1.315,120.096
5747,2012,28,7.3,12.139,-88.59
5748,2012,28,7.6,10.811,126.638
5749,2012,35,7.6,10.085,-85.315
5750,2012,10,5.6,27.575,103.983
5751,2012,10,5.0,23.739,81.314
5752,2012,14,7.7,52.788,-132.101
5753,2012,24,7.3,13.988,-91.895
5754,2012,14,6.8,23.005,95.885
5755,2012,10,5.1,40.411,90.355
5756,2012,14,5.7,33.506,59.571
5757,2012,31,7.2,37.89,143.949
5758,2013,10,7.5,55.393,-134.652
5759,2013,12,6.1,4.927,95.907
5760,2013,24,7.9,-10.799,165.114
5761,2013,21,7.0,-10.928,166.018
5762,2013,145,7.0,1.135,-77.393
5763,2013,,4.2,55.15,61.41
5764,2013,10,4.9,27.226,103.071
5765,2013,8,5.3,-15.748,-71.425
5766,2013,8,5.4,25.98,99.812
5767,2013,10,5.1,40.119,77.466
5768,2013,19,6.0,23.828,121.215
5769,2013,12,6.3,28.428,51.593
5770,2013,4,5.4,15.52,-87.159
5771,2013,14,5.8,34.369,134.828
5772,2013,80,7.7,28.033,61.996
5773,2013,9,5.8,33.958,139.352
5774,2013,0,2.1,31.817,-97.088
5775,2013,110,7.2,46.221,150.788
5776,2013,14,6.6,30.308,102.888
5777,2013,64,5.5,34.526,70.22
5778,2013,15,5.7,33.061,75.863
5779,2013,15,6.1,26.56,57.77
5780,2013,7,4.9,36.703,5.261
5781,2013,598,8.3,54.892,153.221
5782,2013,10,5.7,7.275,124.898
5783,2013,17,6.3,23.789,121.141
5784,2013,10,5.3,54.263,86.173
5785,2013,47,5.1,-8.305,116.058
5786,2013,13,6.1,4.645,96.665
5787,2013,60,5.7,-8.803,113.002
5788,2013,10,4.8,36.534,3.086
5789,2013,17,6.5,-41.704,174.337
5790,2013,8,6.0,34.512,104.262
5791,2013,42,5.2,33.297,75.95
5792,2013,0,5.5,38.689,22.695
5793,2013,6,5.7,30.046,97.957
5794,2013,12,6.5,-41.731,174.027
5795,2013,21,6.2,16.878,-99.498
5796,2013,10,5.2,28.239,99.328
5797,2013,8,5.8,28.243,99.35
5798,2013,66,6.4,14.606,-92.121
5799,2013,15,7.7,26.951,65.501
5800,2013,31,7.1,-16.15,-74.87
5801,2013,12,6.8,27.183,65.505
5802,2013,40,6.6,35.514,23.252
5803,2013,19,7.1,9.88,124.117
5804,2013,10,5.5,5.103,95.971
5805,2013,10,7.1,37.2,144.6
5806,2013,23,5.2,38.41,68.89
5807,2013,10,7.7,-60.274,-46.401
5808,2013,10,5.3,44.599,124.168
5809,2013,4,5.7,29.275,51.313
5810,2014,8,5.3,27.15,54.448
5811,2014,54,5.6,4.557,-76.644
5812,2014,20,6.4,19.043,-66.81
5813,2014,28,6.1,-40.66,175.814
5814,2014,66,6.1,-7.986,109.265
5815,2014,8,6.1,38.208,20.453
5816,2014,10,5.3,26.589,57.741
5817,2014,4,6.0,38.244,20.379
5818,2014,5,4.1,35.937,-97.271
5819,2014,10,6.9,35.905,82.586
5820,2014,1,4.5,-30.686,121.332
5821,2014,79,6.3,33.684,131.825
5822,2014,21,6.7,-19.965,-70.814
5823,2014,4,5.1,33.863,-117.835
5824,2014,25,8.2,-19.61,-70.769
5825,2014,22,7.7,-20.571,-70.493
5826,2014,25,5.4,28.174,103.619
5827,2014,13,6.1,12.403,-86.378
5828,2014,61,7.1,-6.586,155.049
5829,2014,23,7.6,-11.27,162.148
5830,2014,39,7.4,-11.463,162.051
5831,2014,10,5.2,12.151,-86.281
5832,2014,24,7.2,17.397,-100.972
5833,2014,43,7.5,-6.755,155.024
5834,2014,6,6.1,19.656,99.67
5835,2014,17,6.4,17.235,-100.746
5836,2014,15,4.5,26.387,68.358
5837,2014,5,3.6,49.799,8.69
5838,2014,10,5.0,41.115,19.777
5839,2014,23,6.9,40.24,25.33
5840,2014,10,5.9,25.0,97.845
5841,2014,20,6.9,-29.977,-177.725
5842,2014,109,7.9,51.849,178.735
5843,2014,67,6.9,14.728,-92.578
5844,2014,20,6.5,37.005,142.453
5845,2014,5,3.9,35.524,-97.146
5846,2014,10,6.1,58.306,-136.96
5847,2014,107,6.3,17.682,-95.653
5848,2014,30,5.5,36.841,3.301
5849,2014,12,6.2,27.189,103.409
5850,2014,5,5.5,-26.99,26.705
5851,2014,12,5.1,-0.018,-78.322
5852,2014,10,5.0,28.125,103.546
5853,2014,6,6.2,32.663,47.673
5854,2014,11,6.1,38.216,-122.312
5855,2014,26,5.2,6.864,125.233
5856,2014,10,5.1,-13.843,-71.695
5857,2014,9,6.1,23.383,100.47
5858,2014,17,7.0,-32.108,-110.811
5859,2014,40,7.3,12.526,-88.123
5860,2014,45,7.1,1.893,126.522
5861,2014,9,5.9,30.34,101.737
5862,2014,9,6.2,36.641,137.888
5863,2014,10,5.6,23.358,100.533
5864,2014,7,4.9,36.492,3.025
5865,2015,10,5.3,29.353,103.199
5866,2015,23,6.7,39.856,142.881
5867,2015,10,6.4,-16.431,168.148
5868,2015,10,4.5,23.01,101.755
5869,2015,7,3.6,44.534,18.934
5870,2015,12,5.1,44.133,85.568
5871,2015,30,5.4,34.671,73.278
5872,2015,10,4.5,-15.693,-71.934
5873,2015,11,5.5,23.5,98.9
5874,2015,20,4.4,44.088,19.861
5875,2015,184,6.2,6.8,-73.01
5876,2015,10,4.6,33.15,115.8
5877,2015,41,7.5,-4.729,152.562
5878,2015,29,6.4,24.203,122.316
5879,2015,8,7.8,28.231,84.731
5880,2015,10,5.7,31.529,140.213
5881,2015,55,7.5,-5.462,151.875
5882,2015,15,7.3,27.809,86.066
5883,2015,664,7.8,27.839,140.493
5884,2015,10,6.0,5.987,116.541
5885,2015,26,5.3,26.638,90.41
5886,2015,10,6.4,37.6,78.2
5887,2015,32,6.1,10.169,125.891
5888,2015,12,6.7,-9.307,158.403
5889,2015,11,7.0,-10.401,165.141
5890,2015,17,5.1,33.856,73.193
5891,2015,23,6.9,52.214,-169.399
5892,2015,48,7.0,-2.629,138.528
5893,2015,12,5.9,8.231,-77.315
5894,2015,10,5.5,-2.102,28.93
5895,2015,22,8.3,-31.573,-71.674
5896,2015,18,6.6,-0.631,131.244
5897,2015,14,5.8,-25.42,-64.444
5898,2015,213,7.5,36.441,70.717
5899,2015,14,5.3,8.477,-71.365
5900,2015,10,6.9,-29.439,-72.105
5901,2015,12,6.7,30.991,128.877
5902,2015,11,6.5,38.755,20.552
5903,2015,612,7.6,-10.047,-71.023
5904,2015,601,7.6,-10.548,-70.904
5905,2015,26,7.2,38.258,72.767
5906,2015,203,6.3,36.5,71.132
5907,2016,55,6.7,24.834,93.656
5908,2016,46,5.5,-3.863,127.229
5909,2016,128,7.1,59.658,-153.452
5910,2016,10,6.3,35.741,-3.597
5911,2016,23,6.4,22.939,120.593
5912,2016,24,7.8,-4.908,94.275
5913,2016,212,6.6,36.472,71.131
5914,2016,10,7.0,32.782,130.726
5915,2016,21,7.8,0.382,-79.922
5916,2016,27,7.0,-16.074,167.393
5917,2016,10,5.5,32.038,94.987
5918,2016,31,6.8,0.465,-79.641
5919,2016,38,6.3,1.295,126.355
5920,2016,10,5.4,38.883,70.626
5921,2016,212,7.7,18.515,145.529
5922,2016,10,5.9,-8.218,117.816
5923,2016,10,7.2,-22.495,173.111
5924,2016,10,5.4,-15.613,-71.671
5925,2016,10,7.4,-55.279,-31.874
5926,2016,4,6.2,42.723,13.188
5927,2016,84,6.8,20.919,94.579
5928,2016,19,7.1,-37.401,179.055
5929,2016,40,5.9,-1.03,31.56
5930,2016,10,5.3,42.012,21.481
5931,2016,10,4.6,35.769,129.227
5932,2016,10,4.8,-2.65,29.06
5933,2016,10,5.4,34.905,73.682
5934,2016,10,6.2,35.374,133.809
5935,2016,10,6.1,42.956,13.067
5936,2016,8,6.6,42.862,13.096
5937,2016,5,5.0,35.984,-96.798
5938,2016,53,7.8,-42.757,173.077
5939,2016,11,6.9,37.392,141.403
5940,2016,10,7.0,11.96,-88.835
5941,2016,10,5.4,27.806,86.532
5943,2016,10,6.2,-15.294,-70.823
5944,2016,8,6.5,5.281,96.108
5945,2016,41,7.8,-10.665,161.335
5946,2016,21,6.9,-10.73,161.107
5947,2016,103,7.9,-4.509,153.45
5948,2016,10,5.4,0.816,-79.74
5949,2016,35,7.6,-43.416,-73.88
5950,2017,32,5.7,24.015,92.018
5951,2017,17,6.9,-19.326,176.053
5952,2017,10,5.0,28.2,53.107
5953,2017,7,5.5,-20.16,46.647
5954,2017,7,5.7,42.601,13.227
5955,2017,136,7.9,-6.214,155.122
5956,2017,26,6.3,25.216,63.272
5957,2017,15,6.5,9.911,125.461
5958,2017,11,5.7,9.831,125.496
5959,2017,10,5.1,17.415,95.999
5960,2017,13,6.1,35.8,60.436
5961,2017,43,5.9,13.725,120.929
5962,2017,10,4.8,13.753,-89.16
5963,2017,25,6.9,-33.073,-72.051
5964,2017,26,6.9,5.516,125.093
5965,2017,2,6.2,59.844,-136.695
5966,2017,10,5.4,37.659,75.253
5967,2017,17,5.8,37.777,57.195
5968,2017,10,4.4,-3.054,32.893
5969,2017,1,5.0,38.765,27.775
5970,2017,12,6.8,-1.289,120.453
5971,2017,10,6.3,38.932,26.364
5972,2017,94,6.9,14.982,-91.988
5973,2017,,3.2,27.64,85.17
5974,2017,47,6.8,13.753,-90.949
5975,2017,24,5.6,-19.444,34.509
5976,2017,7,6.5,11.114,124.633
5977,2017,11,7.7,54.472,168.815
5978,2017,44,6.4,-16.416,-73.636
5979,2017,10,6.7,36.949,27.458
5980,2017,92,5.4,-33.212,-70.626
5981,2017,9,6.5,33.193,103.855
5982,2017,26,6.3,44.323,82.837
5983,2017,41,5.6,-16.299,-73.474
5984,2017,9,4.2,40.78,13.945
5985,2017,10,5.0,11.014,124.736
5986,2017,47,8.2,15.022,-93.899
5987,2017,51,7.1,18.584,-98.399
5988,2017,9,6.1,16.737,-94.946
5989,2017,31,5.7,7.629,124.874
5990,2017,11,6.8,-21.66,169.203
5991,2017,6,6.1,-3.745,127.752
5992,2017,10,6.6,-21.63,168.884
5993,2017,23,7.3,34.886,45.941
5994,2017,20,6.5,9.526,-84.505
5995,2017,10,5.4,36.065,129.27
5996,2017,20,5.9,2.382,128.144
5997,2017,10,7.0,-21.334,168.683
5998,2017,10,5.1,29.362,108.104
5999,2017,10,6.0,30.765,57.331
6000,2017,92,6.5,-7.734,108.023
6001,2017,10,4.9,35.654,50.949
6002,2017,10,4.0,35.692,50.9
6003,2018,10,4.9,42.658,19.883
6004,2018,10,5.0,34.649,45.799
6005,2018,,3.4,53.2,6.6
6006,2018,10,7.5,17.474,-83.519
6007,2018,10,5.5,33.764,45.749
6008,2018,36,7.1,-15.776,-74.744
6009,2018,44,6.0,-7.196,105.918
6010,2018,25,7.9,56.046,-149.073
6011,2018,191,6.1,36.543,70.816
6012,2018,19,5.2,-1.756,-77.694
6013,2018,11,6.4,24.174,121.653
6014,2018,25,7.2,16.646,-97.653
6015,2018,23,7.5,-6.068,142.768
6016,2018,16,6.1,-6.182,142.492
6017,2018,10,6.0,-6.307,142.62
6018,2018,10,6.7,-6.294,142.607
6019,2018,10,5.3,34.456,45.764
6020,2018,10,4.9,8.346,-71.664
6021,2018,10,6.3,-5.841,142.49
6022,2018,8,5.6,35.262,132.541
6023,2018,5,4.7,43.093,13.046
6024,2018,4,4.4,-7.21,109.65
6025,2018,10,5.2,37.596,38.514
6026,2018,10,5.3,30.715,51.485
6027,2018,,2.1,-26.4,27.5
6028,2018,5,6.9,19.37,-155.032
6029,2018,10,4.1,50.11,18.71
6030,2018,10,5.6,13.095,-88.099
6031,2018,112,6.2,36.99,71.369
6032,2018,17,5.8,-12.778,45.593
